episode,rewards,lengths,successes
0,-848.0,200,False
1,-848.0,200,False
2,-848.0,200,False
3,-911.0,200,False
4,-758.0,200,False
5,-785.0,200,False
6,-794.0,200,False
7,-731.0,200,False
8,-902.0,200,False
9,-866.0,200,False
10,-677.0,200,False
11,-794.0,200,False
12,-704.0,200,False
13,-731.0,200,False
14,-722.0,200,False
15,-722.0,200,False
16,-686.0,200,False
17,-803.0,200,False
18,-785.0,200,False
19,-758.0,200,False
20,-794.0,200,False
21,-740.0,200,False
22,-440.0,146,True
23,-731.0,200,False
24,-740.0,200,False
25,-812.0,200,False
26,-659.0,200,False
27,-731.0,200,False
28,-659.0,200,False
29,-731.0,200,False
30,-641.0,194,True
31,-614.0,200,False
32,-695.0,200,False
33,-749.0,200,False
34,-758.0,200,False
35,-713.0,200,False
36,-668.0,200,False
37,-812.0,200,False
38,-677.0,200,False
39,-712.0,157,True
40,-695.0,200,False
41,-578.0,200,False
42,-659.0,200,False
43,-641.0,200,False
44,-713.0,200,False
45,-650.0,200,False
46,-632.0,200,False
47,-632.0,200,False
48,-614.0,200,False
49,-632.0,200,False
50,-596.0,200,False
51,-668.0,200,False
52,-632.0,200,False
53,-605.0,200,False
54,-677.0,200,False
55,-650.0,200,False
56,-121.0,61,True
57,-686.0,200,False
58,-677.0,200,False
59,-560.0,200,False
60,-614.0,200,False
61,-206.0,65,True
62,-495.0,147,True
63,-650.0,200,False
64,-614.0,200,False
65,-695.0,200,False
66,-641.0,200,False
67,-488.0,200,False
68,-614.0,200,False
69,-686.0,200,False
70,-334.0,112,True
71,-587.0,200,False
72,-656.0,191,True
73,-312.0,117,True
74,-515.0,200,False
75,-704.0,200,False
76,-517.0,196,True
77,-524.0,200,False
78,-488.0,200,False
79,-448.0,163,True
80,-578.0,200,False
81,-659.0,200,False
82,-560.0,200,False
83,-497.0,200,False
84,-560.0,200,False
85,-533.0,200,False
86,-578.0,200,False
87,-659.0,200,False
88,-722.0,200,False
89,-623.0,200,False
90,-596.0,200,False
91,-605.0,200,False
92,-578.0,200,False
93,-506.0,200,False
94,-578.0,200,False
95,-641.0,200,False
96,-560.0,200,False
97,-393.0,162,True
98,-605.0,200,False
99,-641.0,200,False
100,-515.0,200,False
101,-250.0,82,True
102,-722.0,200,False
103,-506.0,200,False
104,-553.0,196,True
105,-398.0,131,True
106,-515.0,200,False
107,-569.0,200,False
108,-518.0,197,True
109,-506.0,200,False
110,-551.0,200,False
111,-686.0,200,False
112,-443.0,200,False
113,-560.0,200,False
114,-447.0,180,True
115,-361.0,139,True
116,-434.0,200,False
117,-497.0,200,False
118,-578.0,200,False
119,-488.0,200,False
120,-497.0,200,False
121,-443.0,200,False
122,-356.0,125,True
123,-506.0,200,False
124,-219.0,87,True
125,-497.0,200,False
126,-418.0,178,True
127,-263.0,131,True
128,-14.0,35,True
129,-304.0,118,True
130,-470.0,200,False
131,-560.0,200,False
132,-479.0,200,False
133,-452.0,200,False
134,-456.0,180,True
135,-324.0,183,True
136,-124.0,64,True
137,-408.0,168,True
138,-515.0,200,False
139,-497.0,200,False
140,-452.0,200,False
141,-443.0,200,False
142,-515.0,200,False
143,-560.0,200,False
144,-533.0,200,False
145,-497.0,200,False
146,-506.0,200,False
147,-479.0,200,False
148,-461.0,200,False
149,-515.0,200,False
150,-443.0,200,False
151,-524.0,200,False
152,-488.0,200,False
153,-479.0,200,False
154,-488.0,200,False
155,-515.0,200,False
156,-434.0,200,False
157,-479.0,200,False
158,-470.0,200,False
159,-479.0,200,False
160,-443.0,200,False
161,-312.0,135,True
162,-362.0,200,False
163,-194.0,80,True
164,-443.0,200,False
165,-118.0,49,True
166,-425.0,200,False
167,-365.0,197,True
168,-254.0,131,True
169,-479.0,200,False
170,-506.0,200,False
171,-398.0,200,False
172,-488.0,200,False
173,-394.0,181,True
174,-434.0,200,False
175,-506.0,200,False
176,-452.0,200,False
177,-45.0,30,True
178,-488.0,200,False
179,-398.0,200,False
180,-443.0,200,False
181,-368.0,164,True
182,-506.0,200,False
183,-306.0,156,True
184,-533.0,200,False
185,-470.0,200,False
186,-94.0,61,True
187,-155.0,95,True
188,-235.0,139,True
189,-425.0,200,False
190,-6.0,18,True
191,-353.0,200,False
192,-443.0,200,False
193,-425.0,200,False
194,-452.0,200,False
195,-425.0,200,False
196,-269.0,137,True
197,-416.0,200,False
198,-386.0,200,True
199,-162.0,93,True
200,-223.0,100,True
201,-166.0,79,True
202,-349.0,190,True
203,-41.0,26,True
204,-362.0,200,False
205,-407.0,200,False
206,-297.0,147,True
207,-190.0,103,True
208,-303.0,126,True
209,-315.0,192,True
210,-49.0,43,True
211,-407.0,200,False
212,-287.0,146,True
213,-188.0,119,True
214,-434.0,200,False
215,-380.0,200,False
216,-335.0,200,False
217,-341.0,191,True
218,-488.0,200,False
219,-416.0,200,False
220,-203.0,107,True
221,-215.0,137,True
222,-213.0,144,True
223,-297.0,174,True
224,-371.0,200,False
225,-398.0,200,False
226,-297.0,165,True
227,-73.0,67,True
228,-281.0,167,True
229,-434.0,200,False
230,-416.0,200,False
231,-389.0,200,False
232,-343.0,184,True
233,-26.0,20,True
234,-223.0,145,True
235,-389.0,200,False
236,-353.0,200,False
237,-299.0,200,False
238,-318.0,168,True
239,-172.0,103,True
240,-210.0,132,True
241,-326.0,200,False
242,-71.0,56,True
243,-40.0,34,True
244,-198.0,111,True
245,-77.0,35,True
246,-362.0,200,False
247,-362.0,194,True
248,-80.0,47,True
249,-344.0,200,False
250,-362.0,200,False
251,-216.0,138,True
252,-316.0,193,True
253,-371.0,200,False
254,-88.0,73,True
255,-8.0,20,True
256,-361.0,193,True
257,-389.0,200,False
258,-68.0,44,True
259,-314.0,200,True
260,-148.0,106,True
261,-131.0,89,True
262,-285.0,144,True
263,-299.0,200,False
264,-197.0,110,True
265,-304.0,172,True
266,-15.0,27,True
267,-407.0,200,False
268,-380.0,200,False
269,-326.0,200,False
270,-354.0,186,True
271,-270.0,165,True
272,-304.0,181,True
273,-327.0,195,True
274,-326.0,200,False
275,-37.0,49,True
276,-189.0,138,True
277,-232.0,154,True
278,-232.0,127,True
279,-317.0,200,False
280,-200.0,131,True
281,-330.0,198,True
282,-22.0,25,True
283,-56.0,41,True
284,-156.0,105,True
285,-246.0,141,True
286,-275.0,197,True
287,-69.0,36,True
288,-190.0,139,True
289,-290.0,200,False
290,-166.0,106,True
291,-299.0,200,False
292,-218.0,122,True
293,-269.0,173,True
294,-117.0,93,True
295,-193.0,133,True
296,-187.0,100,True
297,-102.0,60,True
298,-317.0,200,False
299,-86.0,71,True
